Thời gian;Người gửi;Nội dung
2025-12-07 21:04:22;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã đặt tên nhóm là Project Creater.
2025-12-07 21:04:36;Lê Ngọc Tuyền;chưa biết ông Nghĩa làm khom
2025-12-07 21:04:39;Lê Ngọc Tuyền;nên để đó i
2025-12-07 21:04:42;Lê Ngọc Tuyền;qua đây nhắn i mn
2025-12-07 21:05:12;Mai Quỳnh Anh;ya
2025-12-07 21:05:13;Mai Quỳnh Anh;=))))
2025-12-07 21:05:17;Mai Quỳnh Anh;có j hỏi ông nghĩa
2025-12-07 21:05:20;Mai Quỳnh Anh;xem làm hok
2025-12-07 21:05:23;Mai Quỳnh Anh;là nhóm 5 ng
2025-12-07 21:05:46;Hà Đăng Khôi;Bạn đã đặt biệt danh của mình là Hà Đăng Khôi đã rời khỏi nhóm.
2025-12-07 21:05:50;Hà Đăng Khôi;Yup
2025-12-07 21:06:22;Mai Quỳnh Anh;=))))))))
2025-12-07 21:06:25;Mai Quỳnh Anh;tr má=)))))
2025-12-07 21:06:29;Mai Quỳnh Anh;có j gr làm kín
2025-12-07 21:06:35;Lê Ngọc Tuyền;=))
2025-12-07 21:06:38;Mai Quỳnh Anh;nghiêm túc mà=))
2025-12-07 21:06:43;Lê Ngọc Tuyền;đroi
2025-12-07 21:07:18;Lê Ngọc Tuyền;tui đang hỏi ông Nghĩa nè
2025-12-07 21:07:47;Mai Quỳnh Anh;xong rồi chốt thành viên
2025-12-07 21:07:52;Mai Quỳnh Anh;rồi chia nhiệm vụ=))))
2025-12-07 21:07:54;Mai Quỳnh Anh;kiểu như
2025-12-07 21:07:56;Lê Ngọc Tuyền;là đóng cổng ha cả nhà
2025-12-07 21:07:58;Lê Ngọc Tuyền;đông quá ko hay
2025-12-07 21:07:59;Mai Quỳnh Anh;ai nhắm tới công việc nào
2025-12-07 21:08:02;Lê Ngọc Tuyền;max 5 người thôi
2025-12-07 21:08:03;Mai Quỳnh Anh;thì làm lquan tới đó
2025-12-07 21:08:05;Mai Quỳnh Anh;xem ok hok
